timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,km/hr speed,time/km,enhanced altitude,cycle length 16,performance condition,,wrist heart rate
1084945105,-403945811,1803368741,133,81,79899,20,0,2202,7.9272,7.568876779,2531,0,,88,133
1084945115,-403948101,1803368919,133,80,82029,20,0,2305,8.298,7.23065799,2528,0,,108,133
1084945119,-403948904,1803368926,130,79,82771,20,64,2333,8.3988,7.143877697,2529,0,,88,130
1084945121,-403949315,1803368942,130,79,83153,20,64,2342,8.4312,7.116424708,2528,0,,88,130
1084945122,-403949504,1803368947,131,79,83329,20,64,2342,8.4312,7.116424708,2528,0,,57,131
1084945129,-403951220,1803369011,130,79,84923,19,0,2025,7.29,8.230452675,2528,0,,57,130
1084945136,-403952794,1803369192,132,78,86389,19,0,2221,7.9956,7.50412727,2528,0,,57,132
1084945145,-403954988,1803369407,134,78,88441,19,0,2258,8.1288,7.381163271,2528,0,,162,134
1084945147,-403955413,1803369250,134,78,88856,19,64,2267,8.1612,7.351860021,2528,0,,162,134
1084945154,-403956668,1803368017,136,78,90372,19,0,2286,8.2296,7.290755322,2525,0,,129,136
1084945158,-403957138,1803367123,139,78,91189,19,0,2277,8.1972,7.319572537,2525,0,,88,139
1084945164,-403957996,1803365683,139,78,92563,19,64,2277,8.1972,7.319572537,2525,,,88,139
1084945172,-403958523,1803363657,139,78,94252,19,0,2258,8.1288,7.381163271,2524,0,,88,139
1084945175,-403958495,1803362801,138,80,94913,19,0,2249,8.0964,7.410701052,2523,0,,108,138
1084945182,-403958117,1803360722,140,80,96565,19,0,2249,8.0964,7.410701052,2522,0,,88,140
1084945187,-403957852,1803359550,143,79,97504,19,64,2239,8.0604,7.443799315,2524,0,,108,143
1084945192,-403957591,1803357927,141,78,98783,19,0,2230,8.028,7.473841555,2525,0,,147,141
1084945197,-403957380,1803356185,140,80,100158,19,0,2221,7.9956,7.50412727,2525,,,147,140
1084945200,-403957429,1803355332,140,79,100819,19,0,2221,7.9956,7.50412727,2525,0,,147,140
1084945205,-403957641,1803354131,138,78,101776,19,0,2221,7.9956,7.50412727,2528,0,,162,138
1084945210,-403957796,1803353000,139,78,102676,19,0,2211,7.9596,7.53806724,2530,0,,176,139
1084945218,-403957899,1803350923,140,79,104286,19,64,2183,7.8588,7.634753397,2530,,,129,140
1084945227,-403957548,1803348327,140,78,106346,19,0,2174,7.8264,7.666360012,2531,0,,129,140
1084945229,-403957353,1803347946,140,79,106689,19,64,2183,7.8588,7.634753397,2534,0,,129,140
1084945233,-403956955,1803347067,140,78,107462,19,64,2183,7.8588,7.634753397,2536,894,,129,140
1084945241,-403956010,1803345043,140,80,109275,19,0,2183,7.8588,7.634753397,2533,894,,129,140
1084945247,-403955302,1803343672,140,79,110523,19,64,2165,7.794,7.698229407,2533,,,129,140
1084945256,-403954188,1803341632,143,78,112414,19,0,2165,7.794,7.698229407,2536,0,,72,143
1084945258,-403953962,1803341237,144,79,112786,19,64,2165,7.794,7.698229407,2536,894,,72,144
1084945263,-403953574,1803340395,141,78,113540,19,0,2155,7.758,7.733952049,2537,0,,88,141
1084945265,-403953303,1803340061,138,78,113902,19,0,2146,7.7256,7.766387077,2537,0,,72,138
1084945274,-403951945,1803338032,137,79,115921,19,64,2118,7.6248,7.869058861,2536,0,,57,137
1084945277,-403951475,1803337301,137,79,116637,19,64,2193,7.8948,7.5999392,2536,0,,57,137
1084945286,-403950491,1803335213,138,80,118499,19,0,2267,8.1612,7.351860021,2532,0,,72,138
1084945293,-403950995,1803333042,138,79,120297,19,64,2202,7.9272,7.568876779,2531,894,,72,138
1084945299,-403951276,1803331602,138,79,121509,19,64,2202,7.9272,7.568876779,2530,0,,72,138
1084945300,-403951225,1803331472,137,79,121620,19,64,2202,7.9272,7.568876779,2530,0,,72,137
1084945301,-403951275,1803331269,136,79,121781,19,64,2193,7.8948,7.5999392,2530,0,,57,136
1084945303,-403951509,1803330742,134,79,122238,19,64,2137,7.6932,7.799095305,2530,894,,57,134
1084945304,-403951707,1803330472,134,79,122514,19,64,2118,7.6248,7.869058861,2530,894,,57,134
1084945311,-403952903,1803328598,133,78,124328,19,64,2099,7.5564,7.940289027,2531,,,57,133
1084945315,-403953407,1803327854,134,79,125073,19,64,2118,7.6248,7.869058861,2531,0,,44,134
1084945317,-403953515,1803327432,135,79,125410,19,64,2127,7.6572,7.83576242,2532,0,,57,135
1084945323,-403954560,1803325798,137,80,127013,19,0,2025,7.29,8.230452675,2530,0,,57,137
1084945326,-403954970,1803325324,136,82,127529,19,0,2025,7.29,8.230452675,2529,0,,57,136
1084945329,-403955657,1803324664,137,83,128347,19,0,2053,7.3908,8.118201007,2526,894,,44,137
1084945332,-403956437,1803324282,138,83,129136,19,0,2099,7.5564,7.940289027,2523,0,,44,138
1084945335,-403957131,1803324154,139,81,129790,19,0,2118,7.6248,7.869058861,2521,,,44,139
1084945342,-403958495,1803323675,139,79,131111,19,64,2025,7.29,8.230452675,2518,0,,44,139
1084945343,-403958707,1803323615,139,79,131312,19,0,1978,7.1208,8.426019548,2518,0,,44,139
1084945346,-403959409,1803323448,137,78,131977,19,0,1931,6.9516,8.631106508,2518,0,,57,137
